N; opt/bst_143_141_avx.c:1;opt/bst_123_m128_unaligned8_maskstore.c:1;opt/bst_141_140_unroll.c:1;opt/bst_140_102_opt.c:1;opt/bst_129_m256_maskstore_root_aligned.c:1;opt/bst_132_131_double.c:1;opt/bst_103_why_would_you_block.c:1;opt/bst_142_141_sse.c:1;opt/bst_144_141_avx_8x4.c:1;opt/bst_125_m128_aligned4_maskstore.c:1;opt/bst_106_scalar_rep_transp.c:1;opt/bst_117_index_opt.c:1;ref/bst_ref.c:1;opt/bst_001_transposed.c:1;opt/bst_133_132_rescheduled.c:1;opt/bst_130_103_unroll8.c:1
100;0.690431035998;0.512952225066;0.515606767795;0.5105334533;0.61193259913;0.404859690635;0.365752715986;0.792801763676;0.607550120737;0.613203210513;0.302841570595;0.385849212093;0.393625249576;0.277417000522;0.503026698124;0.412116577112
150;0.832270696177;0.524698374096;0.564456848052;0.498596771232;0.726551523539;0.391424615014;0.393631925138;0.794592763146;0.708953257247;0.694218690307;0.334870259772;0.421636197049;0.328889616381;0.295629209606;0.526304901101;0.438865089815
200;0.938269260393;0.521166038339;0.539473154484;0.515876294855;0.813428228358;0.427341784755;0.410331449822;0.880029857584;0.83196892852;0.739069267767;0.369197553754;0.444277824536;0.335729416043;0.295845943852;0.558530635416;0.451931038647
250;0.956465681106;0.568514058006;0.588594525108;0.557156908338;0.874788078641;0.43070441399;0.426317269408;0.891564525034;0.841076944329;0.695432007513;0.40907906648;0.463888614201;0.338534180663;0.30833919132;0.573778903827;0.452309089312
300;0.899105399676;0.597721178647;0.596192924537;0.528853005651;0.911019480465;0.428950367492;0.431708128532;0.997546690357;0.844531272495;0.686214748852;0.421322821947;0.477281221499;0.324774482081;0.314722682882;0.5633854504;0.470699886972
350;0.871336495233;0.596619041797;0.601470812266;0.562347793576;0.954709070598;0.428812279731;0.440865373185;1.01477779213;0.935660345881;0.781492834763;0.425309347473;0.487052848899;0.330768047774;0.322985668432;0.583421685865;0.473159722038
400;1.01668062368;0.600489159901;0.604332995574;0.55790187466;0.946225598116;0.433880909448;0.445400197034;1.04933009621;0.993481943624;0.784489610784;0.438812986352;0.495047931792;0.33106800535;0.320279320722;0.597257266871;0.473985124826
450;0.988364935516;0.603461171317;0.609967917024;0.557427435464;0.996016806452;0.426120612452;0.447908121411;1.03779854778;1.04457806437;0.794167382617;0.447611889521;0.501172834717;0.347128627678;0.320284999672;0.599022810926;0.486283198367
500;1.04396706246;0.605892379001;0.612001055137;0.55048298771;1.01432164187;0.429565035795;0.446880967962;1.0271184606;1.07083083471;0.793176628806;0.451000331409;0.505921316041;0.333707913762;0.318542498797;0.604859057619;0.447080316639
550;0.921122561855;0.604338832508;0.59779952452;0.581304829008;1.03252726312;0.397654681956;0.452375112056;1.00520672313;0.987193326135;0.781325832839;0.452427245938;0.511609446478;0.319104225758;0.321375208738;0.573357863063;0.480156645611
600;1.10416603465;0.608002444551;0.626314217953;0.584670942681;1.04700288675;0.438396171605;0.457995967449;1.12860516454;1.10208008238;0.803744096218;0.456939633468;0.514926025259;0.286630639373;0.323000566487;0.624934715544;0.497776161503
650;1.11387614346;0.612439696273;0.626489219586;0.586789187049;1.06329226712;0.437359703245;0.460130403006;1.12676371202;1.09658092482;0.814595059863;0.459794738629;0.519162105564;0.287337468457;0.32007179511;0.622876469767;0.502055346942
700;1.12492504044;0.613444521537;0.629300208313;0.587116827601;1.06200583625;0.435876941489;0.459131461014;1.14574616085;1.13612712225;0.812560747661;0.45874048178;0.518015736911;0.327136794912;0.312829413833;0.62418573423;0.495966215709
750;1.12860034767;0.611672290737;0.62783387539;0.586680627901;1.07210074485;0.43545311443;0.456788229086;1.14010949459;1.129661166;0.821638173018;0.46191705547;0.52203155167;0.322752004159;0.288678569099;0.622058714013;0.500202409928
800;1.11873125928;0.609389858204;0.626776256547;0.583421394401;1.07774643589;0.423404688733;0.446035312141;1.1408937496;1.12756727825;0.814932373642;0.460624497392;0.522112310187;0.322264146576;0.305000692721;0.616640046059;0.486187514999
850;1.09550758341;0.609734932283;0.622460459846;0.58261957462;1.07144238689;0.421817519128;0.443595334053;1.11538777487;1.10888094523;0.81221956195;0.457663398136;0.52253820485;0.282099964015;0.294901385253;0.583092429408;0.483206737765
900;1.07274122328;0.608546665337;0.620628640948;0.580689515742;1.06887102508;0.412531381271;0.439036661406;1.11417807548;1.11194295458;0.79884728174;0.446640893541;0.523599040023;0.316089136683;0.307783942166;0.58976788646;0.482001036609
950;1.09088291108;0.605287464415;0.617974006691;0.581119206516;1.04907756995;0.403210827736;0.43696780585;1.09829213426;1.10933235845;0.804940183064;0.444358333785;0.50668320268;0.303316341054;0.308866088416;0.580080119112;0.480533079642
1000;1.06020821385;0.601930667463;0.615041264356;0.576331282209;1.05746149955;0.404072191674;0.431471540189;1.09002430211;1.09388777066;0.795902773646;0.440638743331;0.52036131372;0.298331623754;0.304469902542;0.575284852466;0.471021779631
1050;1.05175552933;0.60261147293;0.610733496167;0.575346703868;1.0493243434;0.403936104354;0.422347798734;1.07206952685;1.08467909344;0.796636786593;0.43915895478;0.521914510213;0.291501979279;0.304042565266;0.567213320765;0.471729231054
1100;1.04035746737;0.598689950751;0.610330561597;0.574139446584;1.03736230248;0.39996886636;0.42318783584;1.07875789547;1.0906639558;0.785055116188;0.432255733837;0.52210973567;0.285532832482;0.295955760913;0.55895948857;0.471086481307
1150;1.04826808026;0.595312843735;0.599912643212;0.577920407025;1.03300378426;0.396348689316;0.42451551015;1.08574754835;1.08243041102;0.786981867098;0.432420033899;0.521245681987;0.267613556947;0.30504413608;0.556700132175;0.474789341209
1200;1.01397326456;0.593916766567;0.606359160508;0.567400749109;1.03345761406;0.392730258584;0.42456429491;1.06791298588;1.04577747918;0.78103821699;0.428811775188;0.521391178182;0.260756702913;0.308922896228;0.558241325643;0.468054071718
1250;1.01467139119;0.594597252371;0.606355669938;0.569732722042;1.02681160969;0.392209404237;0.420314356134;1.05510216208;1.05066579465;0.783115478943;0.434786737555;0.519959770169;0.228866949615;0.299748498355;0.556191853542;0.467263634165
1300;1.00870477843;0.59303217082;0.607058728195;0.56896223139;1.01627056755;0.388245739067;0.425100159016;1.05139016997;1.04959943781;0.773658576823;0.434247695458;0.519608061815;0.241242759021;0.314686360481;0.549451728369;0.469397932309
1350;0.99127603183;0.590461176178;0.606908428682;0.569277323102;1.01359292105;0.393774274641;0.426779617626;1.04704961545;1.02313871623;0.778089859079;0.434871273561;0.51657916795;0.23177672034;0.317320651963;0.544882578066;0.469799803644
1400;0.980864440353;0.588775315175;0.607201869921;0.568151725111;1.00506635002;0.391284548159;0.426655557227;1.05005821543;1.01760686227;0.772419756529;0.433548306441;0.511923225068;0.211839601135;0.320041874828;0.552454503501;0.465369476896
1450;0.969182082092;0.591352455263;0.600594353454;0.567628375594;1.00055420179;0.393875144735;0.427276388053;1.01133504845;0.993819239999;0.774817064862;0.428221824014;0.511371964441;0.202664799323;0.320145986701;0.548651269504;0.466691475482
1500;0.958571276768;0.590435167073;0.604927184045;0.56693724066;0.987191461672;0.392859678763;0.423957606096;1.03059667883;1.02297959489;0.772470438952;0.431839190082;0.524906549182;0.15646582606;0.320091644118;0.54618875903;0.470556936851
