N,opt/bst_123_m128_unaligned8_maskstore.c:1,opt/bst_132_131_double.c:1,opt/bst_125_m128_aligned4_maskstore.c:1,opt/bst_106_scalar_rep_transp.c:1,opt/bst_117_index_opt.c:1,ref/bst_ref.c:1,opt/bst_001_transposed.c:1,opt/bst_133_132_rescheduled.c:1,opt/bst_130_103_unroll8.c:1
100,0.535989374219,0.408036059537,0.656311732292,0.352798636311,0.386008054301,0.408636769996,0.345243501658,0.50219773663,0.415374618554
150,0.56596729021,0.417410056649,0.708351618419,0.360697767172,0.423088770369,0.322109505596,0.355202991566,0.533218328586,0.440612312747
200,0.585394503045,0.427006788118,0.737101396387,0.366102847846,0.447864175366,0.325786289946,0.354745937597,0.562775600246,0.454869554937
250,0.590987276447,0.430939235447,0.760263250995,0.367836709811,0.466275649313,0.328891585934,0.356590344466,0.577338145071,0.465899111256
300,0.602461782018,0.429780660886,0.764951019971,0.371023015592,0.480045671923,0.330543674699,0.359804247364,0.57072232104,0.476861999238
350,0.602494176066,0.433279321138,0.788302907436,0.373289393602,0.49031219199,0.337267888834,0.360262489224,0.589177851849,0.486567575316
400,0.603995289093,0.437534830886,0.789325249025,0.375664086982,0.498826304599,0.336093104786,0.357970583527,0.604237750896,0.485122615223
450,0.60935967915,0.437482141556,0.800097371401,0.377530566015,0.505223361964,0.333088071548,0.355590540746,0.606161833468,0.492553360327
500,0.611221453327,0.439032176615,0.798365610649,0.379595167504,0.510830187519,0.328299953718,0.35485896705,0.61322327371,0.500347742719
550,0.610674054297,0.407866385186,0.811002475974,0.380343898168,0.515789359314,0.319552656696,0.354430099184,0.587098103379,0.49821832026
600,0.609925437137,0.432677746908,0.807326820898,0.38038966148,0.519694626148,0.28221644925,0.359376344338,0.614841796161,0.501112817618
650,0.604879270516,0.437771676245,0.803974804127,0.378322922395,0.509984015125,0.330782737265,0.340186218178,0.617391916127,0.497537632269
700,0.610249768113,0.439967574842,0.807457419592,0.384062418622,0.518055190056,0.331205090938,0.339901147658,0.62103285037,0.501226352746
750,0.609859450342,0.439219177007,0.815360384473,0.382674843114,0.522010499209,0.32047341177,0.331849476315,0.621470021125,0.508340761946
800,0.609246010831,0.440421536595,0.810153226894,0.380725974074,0.523392420444,0.320407983897,0.333424194341,0.622924186064,0.499029122398
850,0.609990465579,0.435331168692,0.811392257878,0.379986447579,0.526694579687,0.330485535905,0.332655798819,0.618800808953,0.500337012839
900,0.609699568255,0.4329968595,0.805011189264,0.37816792421,0.526897848533,0.328333137799,0.331412751629,0.614839986726,0.50032513162
950,0.60745222403,0.427066045542,0.812839132236,0.373839019839,0.531363098661,0.320414151192,0.330529524116,0.601618978656,0.499308851475
1000,0.604166760692,0.42207185678,0.800601521562,0.371880379986,0.532225842673,0.325505442061,0.327282072741,0.59637843997,0.48640881574
1050,0.6050833033,0.417266139525,0.799168735645,0.36967581765,0.531991359286,0.315611561227,0.326446232134,0.586485758529,0.487164647141
1100,0.60279877837,0.41255524635,0.788800429936,0.366960581399,0.532747281407,0.317268858197,0.325560986565,0.578347797103,0.4861038913
1150,0.599659646528,0.411418721461,0.792335202972,0.365301691699,0.532817194508,0.289429799764,0.323196814063,0.575469992376,0.488867241068
1200,0.601063472065,0.406955450038,0.789527763279,0.365875894125,0.533339742823,0.293411423718,0.322538858618,0.575163742977,0.479164999335
1250,0.601090716414,0.404983653161,0.792033519685,0.362921446858,0.531548314891,0.28332769277,0.323689592517,0.571060276697,0.480203553256
1300,0.600406575962,0.402076290682,0.789104810901,0.362800363006,0.532282938073,0.27225488557,0.323500887052,0.562432979901,0.481491628881
1350,0.598308550896,0.401626925449,0.790811762202,0.362034718795,0.534226196972,0.267361516435,0.324333794812,0.558473411523,0.484009962816
1400,0.597419620757,0.399620130111,0.787878150006,0.361777533523,0.532916490569,0.245761710002,0.325552043653,0.561897026569,0.477720756638
1450,0.599758960453,0.399654875064,0.789566726955,0.362268225372,0.533446717624,0.22627820024,0.324121647237,0.559377712666,0.478709296594
1500,0.598343509658,0.398357752972,0.78247157378,0.361729496716,0.532813738111,0.2303435859,0.326474222508,0.555838137834,0.481302624778
1550,0.596294415728,0.399089139998,0.786997470944,0.360598528912,0.533035082808,0.222437472536,0.328003119913,0.551248562111,0.482119226353
1600,0.593668470076,0.397907306901,0.779090707055,0.36195897229,0.533266204098,0.215727660033,0.329338217624,0.558371169593,0.476621776398
1650,0.594998214597,0.398660244274,0.783314526677,0.362421690261,0.532818752941,0.208723585261,0.328757749343,0.559468502009,0.480365417378
1700,0.594626362765,0.397191582116,0.776803572775,0.362441173488,0.532816104413,0.206457264479,0.329980191713,0.553354865238,0.482626983842
1750,0.593764823325,0.398535453368,0.781064324031,0.362645017309,0.534741396127,0.198275656016,0.330160351615,0.552335682135,0.482951887449
1800,0.592794322562,0.397733572208,0.774311280635,0.362767707011,0.534995175752,0.200894177944,0.331906690255,0.557044352663,0.476862278611
1850,0.595192257493,0.423314242784,0.776267206321,0.368596015463,0.535687581531,0.199452109348,0.348849086594,0.592501935931,0.495948330803
1900,0.593326767585,0.423030842525,0.77458367733,0.369343189962,0.535739436726,0.197229897237,0.348589189735,0.587512569523,0.4970432934
1950,0.592341825722,0.423569526255,0.776232207181,0.369095915287,0.536650914173,0.196965614569,0.349120233809,0.584050302179,0.499377359694
2000,0.591777366955,0.424554202619,0.77091118761,0.369674184133,0.537213624327,0.197969734697,0.350486622824,0.592686772353,0.494042694172
