N, opt/bst_123_m128_unaligned8_maskstore.c:1,opt/bst_132_131_double.c:1,opt/bst_125_m128_aligned4_maskstore.c:1,opt/bst_106_scalar_rep_transp.c:1,opt/bst_117_index_opt.c:1,ref/bst_ref.c:1,opt/bst_001_transposed.c:1,opt/bst_133_132_rescheduled.c:1,opt/bst_130_103_unroll8.c:1
100 , 0.535989374219,0.408036059537,0.656311732292,0.352798636311,0.386008054301,0.408636769996,0.345243501658,0.50219773663,0.415374618554
150 , 0.56596729021,0.417410056649,0.708351618419,0.360697767172,0.423088770369,0.322109505596,0.355202991566,0.533218328586,0.440612312747
200 , 0.585394503045,0.427006788118,0.737101396387,0.366102847846,0.447864175366,0.325786289946,0.354745937597,0.562775600246,0.454869554937
250 , 0.590987276447,0.430939235447,0.760263250995,0.367836709811,0.466275649313,0.328891585934,0.356590344466,0.577338145071,0.465899111256
300 , 0.602461782018,0.429780660886,0.764951019971,0.371023015592,0.480045671923,0.330543674699,0.359804247364,0.57072232104,0.476861999238
350 , 0.602494176066,0.433279321138,0.788302907436,0.373289393602,0.49031219199,0.337267888834,0.360262489224,0.589177851849,0.486567575316
400 , 0.603995289093,0.437534830886,0.789325249025,0.375664086982,0.498826304599,0.336093104786,0.357970583527,0.604237750896,0.485122615223
450 , 0.60935967915,0.437482141556,0.800097371401,0.377530566015,0.505223361964,0.333088071548,0.355590540746,0.606161833468,0.492553360327
500 , 0.611221453327,0.439032176615,0.798365610649,0.379595167504,0.510830187519,0.328299953718,0.35485896705,0.61322327371,0.500347742719
550 , 0.610674054297,0.407866385186,0.811002475974,0.380343898168,0.515789359314,0.319552656696,0.354430099184,0.587098103379,0.49821832026
600 , 0.609925437137,0.432677746908,0.807326820898,0.38038966148,0.519694626148,0.28221644925,0.359376344338,0.614841796161,0.501112817618
